Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał,Województwo,Miasto,Skala,Email,Telefon,Osoba/Dział decyzyjny,Stanowisko,WWW,Adres,NIP,KRS,Produkty/marki,Status,Owner,Następny krok,Uzasadnienie potencjału,Źródła,Uwagi
180,B — kampania regionalna,59,E-nilsen.pl,Partner strategiczny / producent,S4 — Vape/e-papierosy,Producent/importer/dystrybutor,Mazowieckie,Pruszków,Nieustalona,,+48 22 487 70 88,,,,"ul. Prusa 45, Pruszków",,,Vape,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi; kompetencje importowo-dystrybucyjne.,,
181,B — kampania regionalna,59,Caro. Hurtownia papierosów. Żach K.,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Mazowieckie,Ostrów Mazowiecka,Nieustalona,,+48 29 745 29 33,,,,"Lubiejewska 51, 07-300 Ostrów Mazowiecka, Polska",,,Akcesoria Tytoniowe | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,,Dodano z Hurtownicy-Wszystkie-Dane-Zebrane_matrix_v10.html; Map link: https://www.google.com/maps/search/?api=1&query=Caro.%20Hurtownia%20papieros%C3%B3w.%20%C5%BBach%20K.&query_place_id=ChIJ57cTD0erH0cROZwd1Cm6oJU | Status źródłowy: Niezweryfikowany
182,B — kampania regionalna,59,Tanie Palenie POINT,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Śląskie,Gliwice,Średni,,,,,https://baza-firm.com.pl/tyton-...,,,,Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://baza-firm.com.pl/tyton-...,Nie potwierdzone
183,B — kampania regionalna,59,Pol-Ta,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Dolnośląskie,Jelcz-Laskowice,Średni,,,,,https://pol-ta.pl,,,,Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://pol-ta.pl,Nie potwierdzone
184,B — kampania regionalna,59,Milo Sp. z o.o.,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Dolnośląskie,Lubin,Średni,,,,,https://milo.lubin.pl,,,,Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://milo.lubin.pl,Nie potwierdzone
185,B — kampania regionalna,59,Hurtownia Papierosów Grażyna Baltadzi,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Dolnośląskie,Lubin,Średni,,,,,https://papierosy.lubin.pl,,,,Papierosy | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://papierosy.lubin.pl,Nie potwierdzone
186,B — kampania regionalna,59,Efekt Łódź,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Łódzkie,Łódź,Średni,,,,,https://efekt-lodz.pl,,,,FMCG | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://efekt-lodz.pl,Nie potwierdzone
187,B — kampania regionalna,59,Carmen Polska,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Łódzkie,Kraków,Średni,,,,,https://carmenpolska.pl,,,,FMCG | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,https://carmenpolska.pl,Nie potwierdzone
188,B — kampania regionalna,59,Tabak Kraków,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Małopolskie,Kraków,Nieustalona,,,,,,,,,Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,,
189,B — kampania regionalna,59,Step Two,Potencjalny reseller / odbiorca hurtowy,S2 — Hurtownie tytoniowe/FMCG,Hurt B2B regionalny,Nieustalony,,Nieustalona,,,,,,,6342812402.0,,Akcesoria | Tytoń,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Dostęp do sklepów tytoniowych i tradycyjnego handlu.,,Z listy BISTA; pomorskie i wielkopolskie
190,B — kampania regionalna,58,Tytoniowo,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Nieustalony,,Nieustalona,,,,,https://www.tytoniowo.pl,,,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://www.tytoniowo.pl,Status źródłowy: Niezweryfikowany
191,B — kampania regionalna,58,Trafika u Jakuba,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Nieustalony,,Nieustalona,,,,,http://www.jakubphu.pl,,,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,http://www.jakubphu.pl,Status źródłowy: Niezweryfikowany
192,B — kampania regionalna,58,Smok,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Nieustalony,,Nieustalona,,,,,https://smok.pl,,,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://smok.pl,Status źródłowy: Niezweryfikowany
193,B — kampania regionalna,58,Elso,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt B2B + detal,Nieustalony,,Nieustalona,,,,,https://www.elso.pl,,,,Akcesoria Tytoniowe | Tytoń | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Dodać do kampanii regionalnej i wykonać follow-up telefoniczny,Sprzedaż komplementarnych akcesoriów dla palaczy.,https://www.elso.pl,Status źródłowy: Niezweryfikowany
194,C — weryfikacja i nurturing,56,PPHU HITPOL / Zapalniczka.pl,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Hurt ogólnopolski,Ogólnopolska,Świlcza,Średni,max@zapalniczka.pl,+48 17 856 08 04; +48 785 065 675,,,https://www.zapalniczka.pl,"Świlcza 145F, 36-072 Świlcza",,,Zapalniczki | Zapalarki | Akcesoria dla palaczy | Akcesoria | Tytoń,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Sprzedaż komplementarnych akcesoriów dla palaczy; zasięg ponadregionalny.,https://www.zapalniczka.pl,Istniejący rekord został wzbogacony 2026-07-19. Firma deklaruje sprzedaż hurtową; importer akcesoriów i zapalniczek. | Status źródłowy: Zweryfikowany — aktywna strona
195,C — weryfikacja i nurturing,55,VAPE POINT Sp. z o.o.,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Detal/e-commerce,Dolnośląskie,Wrocław,Nieustalona,kontakt@vapepoint.pl,+48 729 411 684,,,https://vapepoint.pl,"ul. Powstańców Śląskich 95, 53-332 Wrocław",,,,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://vapepoint.pl,
196,C — weryfikacja i nurturing,55,AlkoNaWesele.pl,Do weryfikacji,S7 — Pozostałe/niezweryfikowane,Hurt B2B regionalny,Mazowieckie,Warszawa,Średnia,info@alkonawesele.pl,729919919,,,alkonawesele.pl,,,,Wódka | Wino | Szampan | Whisky | Piwo | Napoje Bezalkoholowe | Inne Alkohole (Rum | Gin | Likiery | Koniak | Tequila | Aperol | Wermuty) | Upominki I Akcesoria | Personalizowane Etykiety | Pakiety Weselne | Amundsen | Białe Bocio | Ostoya | Chopin | Adam Mickiewicz | Stock Prestige | J.A. Baczewski | Wyborowa | Absolut | Stumbras | Martini | Sierra | Jim Beam | Jack Daniel's | Moet & Chandon | Bacardi | Aperol | Jägermeister | Kahlua | Seagram's | Lubuski | Corona | Heineken | Żywiec | Tyskie | Somersby | Mionetto | Montaudon | Portada | Bonetti | Nampe | Castillo | Vigneti | Socialite | Juan de Juanes | Czarna Olcha | Beluga | Bohema | Pan Tadeusz | Finlandia | De Kuyper | Chivas Regal | Auchentoshan | Hurtownia,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",.,alkonawesele.pl,"Model: Hurtownia. Asortyment: Specjalistyczna hurtownia alkoholi weselnych oferująca wódki, wina, szampany, whisky, piwa, napoje bezalkoholowe, duże pojemności, personalizowane etykiety oraz gotowe pakiety na weselne bary i imprezy. Dystrybucja krajowa, darmowa dostawa przy zamówieniu min. 30 win lub pakietu win.. | Status źródłowy: Aktywny"
197,C — weryfikacja i nurturing,55,Królestwo Tytoniu,Potencjalny reseller / odbiorca hurtowy,S3 — Akcesoria dla palaczy/headshop,Detal/e-commerce,Małopolskie,Kraków,Średni,,888 370 999,,,https://krolestwotytoniu.pl,Poland,,,Akcesoria Tytoniowe | Tytoń | Akcesoria tytoniowe,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Sprzedaż komplementarnych akcesoriów dla palaczy.,https://krolestwotytoniu.pl,Nie potwierdzone | Status źródłowy: Aktywny
198,C — weryfikacja i nurturing,54,Viva S.j. — Hurtownia Papierosów,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Świętokrzyskie,Ostrowiec Świętokrzyski,Średni,,,,,https://www.cylex-polska.pl/firmy/viva--s-j--hurtownia-papieros%C3%B3w-10504502.html,"Ostrowiec Świętokrzyski, Polska",,,Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://www.cylex-polska.pl/firmy/viva--s-j--hurtownia-papieros%C3%B3w-10504502.html,"Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco | Status źródłowy: Aktywny"
199,C — weryfikacja i nurturing,54,Smok Hurtownia Papierosów,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Mazowieckie,Zielonka,Średni,,,,,https://mapa.targeo.pl/smok-hurtownia-papierosow-armii-krajowej-32-05-220-zielonka~5523255/przedsiebiorstwo-firma/adres,"Zielonka, Polska",,,Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://mapa.targeo.pl/smok-hurtownia-papierosow-armii-krajowej-32-05-220-zielonka~5523255/przedsiebiorstwo-firma/adres,"Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco | Status źródłowy: Aktywny"
200,C — weryfikacja i nurturing,54,PAKO FW H. Komorowska i J. Komorowski,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Opolskie,Koło,Średni,,,,,"https://www.hurtownie.pl/hurtownie,.html?q=papierosy\&p=15","Koło, Polska",,,Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,"https://www.hurtownie.pl/hurtownie,.html?q=papierosy\&p=15",Dodano z hurtownicy_pl_127.html; Asortyment: Tobacco products | Status źródłowy: Aktywny
201,C — weryfikacja i nurturing,54,Hurtownia Wielobranżowa ROCH Sp. z o.o. Sp.k.,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Małopolskie,Kraków,Średni,,,,,https://www.baza-firm.com.pl/tyton-i-artykuly-tytoniowe/krakow/hurtownia-wielobranzowa-roch-sp-z-oo-spkomandytowa/pl/210664.html,"Kraków, Polska",,,Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://www.baza-firm.com.pl/tyton-i-artykuly-tytoniowe/krakow/hurtownia-wielobranzowa-roch-sp-z-oo-spkomandytowa/pl/210664.html,"Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco | Status źródłowy: Aktywny"
202,C — weryfikacja i nurturing,54,Hurtownia Papierosów Sklep Przemysłowy,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Pomorskie,Starogard Gdański,Średni,,,,,https://mapa.targeo.pl/hurtownia-papierosow-sklep-przemyslowy-83-200-starogard-gdanski~13569129/przedsiebiorstwo-firma/adres,"Starogard Gdański, Polska",,,Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://mapa.targeo.pl/hurtownia-papierosow-sklep-przemyslowy-83-200-starogard-gdanski~13569129/przedsiebiorstwo-firma/adres,"Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco | Status źródłowy: Aktywny"
203,C — weryfikacja i nurturing,54,Golden FHU Anna Bohusz,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Opolskie,Głubczyce,Średni,,,,,"https://www.hurtownie.pl/hurtownie,.html?q=papierosy\&p=8","Głubczyce, Polska",,,Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,"https://www.hurtownie.pl/hurtownie,.html?q=papierosy\&p=8",Dodano z hurtownicy_pl_127.html; Asortyment: Tobacco products | Status źródłowy: Aktywny
204,C — weryfikacja i nurturing,54,EDMAR PH Hurtownia Papierosów,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Opolskie,Koło,Średni,,,,,"https://www.hurtownie.pl/hurtownie,.html?q=papierosy\&p=15","Koło, Polska",,,Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,"https://www.hurtownie.pl/hurtownie,.html?q=papierosy\&p=15","Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco | Status źródłowy: Aktywny"
205,C — weryfikacja i nurturing,54,Dymek Krzysztof Kasperek,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Lubelskie,Lublin,Średni,,,,,"https://panoramafirm.pl/papierosy_i_tyto%C5%84/lubelskie,,lublin","Lublin, Polska",,,Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,"https://panoramafirm.pl/papierosy_i_tyto%C5%84/lubelskie,,lublin",Dodano z hurtownicy_pl_127.html; Asortyment: Tobacco products | Status źródłowy: Aktywny
206,C — weryfikacja i nurturing,54,Aleksander Ostrowski,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Warmińsko-mazurskie,Olsztyn,Średni,,,,,https://panoramafirm.pl/papierosy_i_tyto%C5%84/warmi%C5%84sko_mazurskie,"Olsztyn, Polska",,,Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://panoramafirm.pl/papierosy_i_tyto%C5%84/warmi%C5%84sko_mazurskie,Dodano z hurtownicy_pl_127.html; Asortyment: Tobacco products | Status źródłowy: Aktywny
207,C — weryfikacja i nurturing,54,Aga — Hurtownia Papierosów i Art. Chemicznych,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Podkarpackie,Rzeszów,Średni,,,,,https://www.cylex-polska.pl/firmy/aga--hurtownia-papieros%C3%B3w-i-art--chemicznych-10405470.html,"Rzeszów, Polska",,,FMCG | Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://www.cylex-polska.pl/firmy/aga--hurtownia-papieros%C3%B3w-i-art--chemicznych-10405470.html,"Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco, chemicals | Status źródłowy: Aktywny"
208,C — weryfikacja i nurturing,54,"ALFA — Hurtownia Papierosów, Chemii Gospodarczej i Kart Telefonicznych",Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Podlaskie,Białystok,Średni,,,,,"https://www.bialystokonline.pl/alfa-hurtownia-papierosow-chemii-gospodarczej-kart-telefonicznych,firma,2688,244,17,0,1.html","Białystok, Polska",,,FMCG | Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,"https://www.bialystokonline.pl/alfa-hurtownia-papierosow-chemii-gospodarczej-kart-telefonicznych,firma,2688,244,17,0,1.html","Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco, household chemicals, phone cards | Status źródłowy: Aktywny"
209,C — weryfikacja i nurturing,54,ALF2 — Hurtownia Papierosów i Chemii Gospodarczej,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Małopolskie,Bochnia,Średni,,,,,https://alf2spj.wixsite.com/alf2,"Bochnia, Polska",,,Akcesoria Tytoniowe | FMCG | Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://alf2spj.wixsite.com/alf2,"Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco, tubes, accessories, household chemicals | Status źródłowy: Aktywny"
210,C — weryfikacja i nurturing,54,"""Lorbad"" Sp. z o.o.",Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Śląskie,Śląskie,Średni,,,,,https://panoramafirm.pl/hurtownia_papieros%C3%B3w/%C5%9Bl%C4%85skie,"Śląskie, Polska",,,Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://panoramafirm.pl/hurtownia_papieros%C3%B3w/%C5%9Bl%C4%85skie,Dodano z hurtownicy_pl_127.html; Asortyment: Tobacco products | Status źródłowy: Aktywny
211,C — weryfikacja i nurturing,54,"""Kamel"" Sp.j. Hurtownia Papierosów",Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Opolskie,Konin,Średni,,,,,"https://panoramafirm.pl/wielkopolskie,,konin,wio%C5%9Blarska,16/kamel_sp.j._hurtownia_papierosow-ssfip_sin.html","Konin, Polska",,,Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,"https://panoramafirm.pl/wielkopolskie,,konin,wio%C5%9Blarska,16/kamel_sp.j._hurtownia_papierosow-ssfip_sin.html","Dodano z hurtownicy_pl_127.html; Asortyment: Cigarettes, tobacco | Status źródłowy: Aktywny"
212,C — weryfikacja i nurturing,53,"Minos. Hurtownia papierosów, wyrobów tytoniowych, chemii gospodarczej",Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Mazowieckie,Radom,Nieustalona,,,,,https://www.misterwhat.pl/company/196155-minos-sp-z-oo-hurtownia-papierosow-wyrobow-tytoniowych-chemii-gospodarczej-radom,"Radom, Polska",,,FMCG | Papierosy | Tytoń | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://www.misterwhat.pl/company/196155-minos-sp-z-oo-hurtownia-papierosow-wyrobow-tytoniowych-chemii-gospodarczej-radom,Dodano z Hurtownicy-Wszystkie-Dane-Zebrane_matrix_v10.html | Status źródłowy: Niezweryfikowany
213,C — weryfikacja i nurturing,51,Sklep Tytoniowy Dobry Tytoń,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Detal/e-commerce,Mazowieckie,Warszawa,Nieustalona,,535 062 684,,,,"ul. Elbro 4/9/5, Warszawa",4792425041.0,,Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,,Dodano z final_turn_001.md; Potencjał: Niski | Status źródłowy: Niezweryfikowany
214,C — weryfikacja i nurturing,51,Vapetech Poland,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Nieustalony,,Nieustalona,,,,,https://vapetechpoland.pl,,,,Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://vapetechpoland.pl,
215,C — weryfikacja i nurturing,51,E-LIQ Distribution,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt B2B regionalny,Nieustalony,,Nieustalona,,,,,https://b2b-eliq.pl,,,,Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi.,https://b2b-eliq.pl,€946 tys. rocznego przychodu
216,C — weryfikacja i nurturing,51,Vape Drop,Partner cross-sell / kanał sąsiedni,S4 — Vape/e-papierosy,Hurt ogólnopolski,Nieustalony,,Nieustalona,,,,,,,,,Vape,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem",Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi; zasięg ponadregionalny.,,"103 mln zł rocznego przychodu, ogólnopolska"
217,C — weryfikacja i nurturing,50,Twojabletka,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B regionalny,Nieustalony,,Nieustalona,przemek@twojabletka.pl,164924462,,,https://www.twojabletka.pl,,,,Bibułki & Bletki | Gilzy & Filtry,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem","Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.twojabletka.pl,"Dodane z wyników wyszukiwania dla niszowych słów (Powermatic, Shisha, bletki). | Status źródłowy: Aktywny"
218,C — weryfikacja i nurturing,50,True Smoke,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B regionalny,Nieustalony,,Nieustalona,info@truesmoke.com,817583740,,,https://www.true-smoke.com,,,,Akcesoria Tytoniowe | Vape & E-papierosy,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem","Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.true-smoke.com,"Dodane z wyników wyszukiwania dla niszowych słów (Powermatic, Shisha, bletki). | Status źródłowy: Aktywny"
219,C — weryfikacja i nurturing,50,Trafikanord,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B regionalny,Nieustalony,,Nieustalona,sklep@trafikanord.pl,178443691,,,https://www.trafikanord.pl,,,,Bibułki & Bletki | Nabijarki & Zwijarki | Trafika,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem","Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.trafikanord.pl,Dodane na prośbę użytkownika z wyników wyszukiwania (maszynki do skręcania). | Status źródłowy: Aktywny
220,C — weryfikacja i nurturing,50,Powermatic,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B regionalny,Nieustalony,,Nieustalona,kontakt@armorica.pl,141941672,,,https://www.powermatic.store,,,,Nabijarki & Zwijarki,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem","Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.powermatic.store,"Dodane z wyników wyszukiwania dla niszowych słów (Powermatic, Shisha, bletki). | Status źródłowy: Aktywny"
221,C — weryfikacja i nurturing,50,Nabijarka,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B regionalny,Nieustalony,,Nieustalona,biuro@prima-tech.pl,+48 663 726 600,,,https://www.nabijarka.pl,,,,Akcesoria Tytoniowe | Nabijarki & Zwijarki,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem","Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.nabijarka.pl,Dodane na prośbę użytkownika z wyników wyszukiwania (maszynki do skręcania). | Status źródłowy: Aktywny
222,C — weryfikacja i nurturing,50,Minesota,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B regionalny,Nieustalony,,Nieustalona,l.pluta@minesota.eu,164570187,,,https://www.minesota.eu,,,,Bibułki & Bletki | Gilzy & Filtry,Nowy,BILLS — hurt@bills.pl,"Zweryfikować dane, produkty i status B2B przed kontaktem","Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.minesota.eu,"Dodane z wyników wyszukiwania dla niszowych słów (Powermatic, Shisha, bletki). | Status źródłowy: Aktywny"
