WP,wielkopolskie,województwo,,2023,PL-A-WP-001,A1,BILLS SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Ostrzeszów,"ul. Ignacego Daszyńskiego 31, 63-500",PL5140361901,KRS 0001074645,https://www.bills.pl,brak,finanse@bills.pl,+48 62 586 07 38,brak,brak,brak,,wyłączność,"PowerMatic, SMOKS tobacco aromas, Intenze e-liquid",nie,Polska producent (PowerMatic via PL/CCE exclusive),duży 🟢,exclusive PL+CEE (BILLS),bills.pl,brak,n/a,n/a,Marceli,właściciel/CEO,KRS API + NIP + www.bills.pl + VIES,2026-08-10,QS: 90/100 | 2026-08-10 ✅ FROZEN (API),✅🐋,duży
MZ,mazowieckie,województwo,,,PL-B-MZ-017,B6,"Minos. Hurtownia papierosów, wyrobów tytoniowych, chemii gospodarczej",PL,Radom,"Radom, Polska",,,https://www.misterwhat.pl/company/196155-minos-sp-z-oo-hurtownia-papierosow-wyrobow-tytoniowych-chemii-gospodarczej-radom,,,,,,,,hurtownik,,,,,🔴,B2B only,2,średni,,,,intake_PL_2026-08-10 | https://www.misterwhat.pl/company/196155-minos-sp-z-oo-hurtownia-papierosow-wyrobow-tytoniowych-chemii-gospodarczej-radom,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_uwagi: Dodano z Hurtownicy-Wszystkie-Dane-Zebrane_matrix_v10.html | Status źródłowy: Niezweryfikowany | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=53 | user_orig_segment='S4 — Vape/e-papierosy'",duży
,Nieustalony,,,,PL-B-XX-030,B6,Vapetech Poland,PL,,,,,https://vapetechpoland.pl,,,,,,,,hurtownik,,,,,🔴,B2B only,2,średni,,,,intake_PL_2026-08-10 | https://vapetechpoland.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=51 | user_orig_segment='S4 — Vape/e-papierosy'",duży
,Nieustalony,,,,PL-B-XX-031,B6,E-LIQ Distribution,PL,,,,,https://b2b-eliq.pl,,,,,,,,hurtownik,,,,,🔴,B2B only,2,średni,,,,intake_PL_2026-08-10 | https://b2b-eliq.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_uwagi: €946 tys. rocznego przychodu | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=51 | user_orig_segment='S4 — Vape/e-papierosy'",duży
,Nieustalony,,,,PL-B-XX-032,B6,Vape Drop,PL,,,,,,,,,,,,,hurtownik,,,,,🔴,B2B only,2,średni,,,,intake_PL_2026-08-10 (user_score=51),,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi; zasięg ponadregionalny. | orig_uwagi: 103 mln zł rocznego przychodu, ogólnopolska | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=51 | user_orig_segment='S4 — Vape/e-papierosy'",duży
DS,dolnośląskie,województwo,,,PL-B-DS-010,B6,PHU Mars,PL,Lubin,"Mielec, Polska",,,https://mars.lubin.pl,,,,,,,,hurtownik,,,,średni,🟢,B2B only,2,średni,,,,intake_PL_2026-08-10 | https://mars.lubin.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_uwagi: Nie potwierdzone | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=50 | user_orig_segment='S4 — Vape/e-papierosy'",duży
,Nieustalony,,,,PL-B-XX-033,B4,EDDcom,PL,,Poland,,,https://eddcom.pl,,,,,,,,detalista,,,,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://eddcom.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Możliwość szybkiego testu sprzedaży internetowej. | orig_uwagi: Status źródłowy: Aktywny | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=50 | user_orig_segment='S6 — Retail/e-commerce'",duży
,Nieustalony,,,,PL-B-XX-034,B6,JUKA,PL,,,,,,,,,,,,,hurtownik,,,,,🔴,B2B only,2,średni,,,,intake_PL_2026-08-10 (user_score=48),,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_uwagi: Z listy BISTA i top 10 vape hurtowni PL | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=48 | user_orig_segment='S4 — Vape/e-papierosy'",duży
,Nieustalony,,,,PL-B-XX-035,B6,Arlgroup,PL,,,,,,,,,,,,,hurtownik,,,,,🔴,B2B only,2,średni,,,,intake_PL_2026-08-10 (user_score=48),,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_uwagi: Z listy top 10 vape hurtowni PL | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=48 | user_orig_segment='S4 — Vape/e-papierosy'",duży
,Nieustalony,,,,PL-B-XX-036,B6,ATG,PL,,,,,,,,,,,,,hurtownik,,,,,🔴,B2B only,2,średni,,,,intake_PL_2026-08-10 (user_score=48),,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_uwagi: Z listy top 10 vape hurtowni PL | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=48 | user_orig_segment='S4 — Vape/e-papierosy'",duży
MZ,mazowieckie,województwo,,,PL-B-MZ-019,B6,Bliq Sp. z o.o.,PL,Warszawa,"ul. Suwak 4/13, Warszawa",,,,,,882 00 89 89,,,,,producent,,,,,🔴,B2B only,2,średni,,,,intake_PL_2026-08-10 (user_score=46),,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=46 | user_orig_segment='S4 — Vape/e-papierosy'",duży
MZ,mazowieckie,województwo,,,PL-B-MZ-020,B4,Dom Cygar / Cigar House Stores,PL,Warszawa,Warszawa; dodatkowe salony deklarowane w Krakowie i Wrocławiu,,,https://www.cigarhousestores.com,,,,,,,,hurtownik,,,,średni,🟢,mix,3,średni,,,,intake_PL_2026-08-10 | https://www.cigarhousestores.com/o-nas | https://www.cigarhousestores.com/kontakt | https://www.cigarhousestores.com/lokalizacje | https://www.cigarhousestores.com,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Premium trafiki i specjalistyczne punkty sprzedaży. | orig_uwagi: Nie używać danych NIP/KRS z witryny bez potwierdzenia w rejestrze; wyglądają na placeholdery. | Status źródłowy: Do weryfikacji — katalog | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=46 | user_orig_segment='S5 — Cygara i trafiki premium'",duży
OP,opolskie,województwo,,,PL-B-OP-014,B9,Paso Polska Sp. z o.o. Sp.k,PL,Tarnowo Podgórne,"Sierosław, ul. Skrajna 1, 62-080 Tarnowo Podgórne",,,https://hurtownia.paso.pl/kontakt,,hurt@paso.pl,61 89 666 61,,,,,marketplace,,,,,🔴,własny e-commerce,4,średni,,,,intake_PL_2026-08-10 | https://hurtownia.paso.pl/kontakt,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: . | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=43 | user_orig_segment='S7 — Pozostałe/niezweryfikowane'",duży
,Nieustalony,,,,PL-B-XX-037,B6,Doctor Vape,PL,,,,,https://b2b-doctorvape.pl,,,,,,,,hurtownik,,,,,🔴,własny e-commerce,2,średni,,,,intake_PL_2026-08-10 | https://b2b-doctorvape.pl,,🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi. | orig_uwagi: Dostawy z Francji do PL i UE | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=43 | user_orig_segment='S4 — Vape/e-papierosy'",duży
PM,pomorskie,województwo,,,PL-A-PM-001,B4,King Hurt — HQ + Branches,PL,Szczecin,Poland,,,https://kinghurt.pl,,bok@kinghurt.pl,+48 609 641 400,,,,,hurtownik,,,mix,duży,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://kinghurt.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Dostępny w katalogu | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=98 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
LD,łódzkie,województwo,,,PL-A-LD-001,B4,TOPartner,PL,Pabianice,"ul. Warszawska 44/50, 95-200 Pabianice",,,https://topartner.pl,,kontakt@topartner.pl,+48 42 214 53 98,,,,,hurtownik,"MOODS, Al Capone, Smoking, Retro",,Chiny,średni,🟢,B2B only,3,średni,Dział handlowy,Sprzedaż hurtowa,,intake_PL_2026-08-10 | https://topartner.pl/ | https://topartner.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne. | orig_uwagi: Dobre dopasowanie produktowe; konieczne potwierdzenie aktualnej działalności i danych prawnych. | Status źródłowy: Do weryfikacji — źródło katalogowe | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=95 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
ZP,zachodniopomorskie,województwo,,,PL-A-ZP-002,B4,West Trading,PL,Szczecin,"Limonkowa 1, 70-001 Ustowo (Szczecin)",,,https://westtrading.pl,,zamowienia.szczecin@westtrading.pl; zamowienia.swinoujscie@westtrading.pl,+48 515 739 764; +48 91 460 00 34; +48 695 870 780,,,,,hurtownik,,,mix,średni,🟢,mix,3,średni,Dział zamówień / współpracy B2B,Dział handlowy,,intake_PL_2026-08-10 | https://westtrading.pl/kontakt/ | https://westtrading.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dystrybucja wyrobów tytoniowych i akcesoriów; dostawy do punktów detalicznych. | TAK | Status źródłowy: Niezweryfikowany | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=91 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
SL,śląskie,województwo,,,PL-A-SL-001,B4,Pavolt.pl,PL,Ogólnopolska,"Główna 8, 42-256 Zrębice",,,https://pavolt.pl/nabijarki-c-...,,sklep@pavolt.pl,+48 735 222 777,,,,,hurtownik,,,mix,średni,🟢,B2B only,3,średni,Właściciel / dział sprzedaży,Sprzedaż internetowa,,intake_PL_2026-08-10 | https://pavolt.pl/kontakt-f-1.html | https://pavolt.pl/nabijarki-c-...,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: TAK | Status źródłowy: Niezweryfikowany | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=89 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
DS,dolnośląskie,województwo,,,PL-A-DS-001,B4,Hawana Tabacco / Golden Filter,PL,Kamienna Góra,"ul. Wałbrzyska 18, 58-400 Kamienna Góra",,,https://www.goldenfilter.pl/,,hawanatabacco@o2.pl,+48 75 744 50 34,,,,,hurtownik,,,Chiny,średni,🟢,mix,3,średni,,,,intake_PL_2026-08-10 | https://www.goldenfilter.pl/,,🔴🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne; wymaga rozmowy strategicznej zamiast standardowej oferty. | orig_uwagi: Jeden z najlepszych potencjalnych partnerów produktowych dla Powermatic/Hawk-Matic. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Rozmowa strategiczna z dyrektorem handlowym; bez standardowego cold maila | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=88 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
WP,wielkopolskie,województwo,,,PL-A-WP-001,B4,SklepTytoniowy.pl,PL,,"ul. Złota 126, 62-800 Kalisz",,,https://skleptytoniowy.pl,,biuro@skleptytoniowy.pl,+48 62 767 46 07; +48 515 230 341,,,,,hurtownik,,,mix,średni,🟢,mix,3,średni,Dział handlowy Tabak Grupa,Internetowa hurtownia tytoniowa,,intake_PL_2026-08-10 | https://www.skleptytoniowy.pl/logowanie | https://skleptytoniowy.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Deklaruje około 40 sklepów stacjonarnych i sprzedaż wyrobów tytoniowych wyłącznie firmom. | Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=86 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
PM,pomorskie,województwo,,,PL-A-PM-003,B4,Don Marco International Sp. z o.o.,PL,,"ul. Jodłowa 20, 80-633 Gdańsk; magazyn: ul. Budowlanych 15A, Gdańsk",,,https://donmarco.pl,,donmarco@donmarco.pl,+48 882 551 017; +48 602 264 080,,,,,hurtownik,,,mix,mały,🟢,B2B only,3,średni,Dział zamówień i wysyłek,Importer i dystrybutor,,intake_PL_2026-08-10 | https://www.donmarco.pl/pl/text/27-KONTAKT.php | https://donmarco.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Importer zapalniczek, akcesoriów trafikowych i artykułów impulsowych. | Nie potwierdzone | Status źródłowy: Dostępny w katalogu | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=84 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
KP,kujawsko-pomorskie,województwo,,,PL-A-KP-001,B4,MRC Trade,PL,,"ul. Włocławska 171A, 87-100 Toruń",,,https://mrctrade.pl,,biuro@mrctrade.pl; export@mrctrade.pl,+48 797 724 344; +48 784 901 554,,,,,hurtownik,,,Chiny,duży,🟢,mix,3,średni,Dział sprzedaży / przedstawiciele regionalni,Sprzedaż krajowa i vanselling,,intake_PL_2026-08-10 | https://mrctrade.pl/kontakt/ | https://mrctrade.pl/oferta/ | https://mrctrade.pl,,🔴🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne; wymaga rozmowy strategicznej zamiast standardowej oferty. | orig_uwagi: Producent gilz i filtrów, własna sieć przedstawicieli w 13 województwach; kontakt strategiczny. | Domestic Polish producer of cigarette tubes and filters supplying wholesale channels. | orig_next: Rozmowa strategiczna z dyrektorem handlowym; bez standardowego cold maila | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=83 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,Ogólnopolska,,,,PL-A-XX-003,B4,Fortrade,PL,,Poland,,,https://fortrade.pl,,,,,,,,hurtownik,,,mix,mały,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://fortrade.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Dostępny w katalogu | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=81 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,Ogólnopolska,,,,PL-A-XX-004,B4,Tobacco Concept Factory (TCF),PL,,,,,https://tcf.com.pl,,,,,,,,hurtownik,,,mix,duży,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://tcf.com.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Major B2B distributor of smoking accessories, tubes, filters, and papers. | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=81 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,Ogólnopolska,,,,PL-A-XX-006,B4,TwojePapierosy.pl,PL,Ogólnopolska,Online (Poland-wide),,,https://twojepapierosy.pl,,,,,,,,hurtownik,,,mix,średni,🟢,mix,3,średni,,,,intake_PL_2026-08-10 | https://twojepapierosy.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: TAK | Status źródłowy: Niezweryfikowany | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=80 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,Ogólnopolska,,,,PL-A-XX-007,B4,Hurtownia Kaziool,PL,,Poland,,,https://kaziool.pl,,,,,,,,hurtownik,,,mix,mały,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://kaziool.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Aktywny | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=80 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
MZ,mazowieckie,województwo,,,PL-A-MZ-005,B4,Orion Tobacco Poland Sp. z o.o.,PL,Goszczyn,"Jakubów 5, 05-610 Goszczyn",,,https://orion-orion.pl,,karolina@orion.mail.pl; orion@orion.mail.pl,+48 48 663 25 46; +48 48 663 28 10,,,,,hurtownik,,,mix,duży,🟢,B2B only,3,średni,Karolina Kornaszewska,Dział sprzedaży krajowej,,intake_PL_2026-08-10 | https://orion-orion.pl/kontakt-3/ | https://orion-orion.pl,,🔴🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; wymaga rozmowy strategicznej zamiast standardowej oferty. | orig_uwagi: Producent gilz, filtrów, tytoniu i akcesoriów. Możliwy konflikt produktowy; kontakt strategiczny. | Nie potwierdzone | Status źródłowy: Dostępny w katalogu | orig_next: Rozmowa strategiczna z dyrektorem handlowym; bez standardowego cold maila | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=79 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
PM,pomorskie,województwo,,,PL-A-PM-004,B4,Wasserman,PL,Szczecin,"Szczecin, Poland",,,https://www.wasserman.eu,,sklep@wasserman.pl,,,,,,hurtownik,Gerui,Gerui,mix,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://www.wasserman.eu,,🟡🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Status źródłowy: Aktywny | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=78 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,Ogólnopolska,,,,PL-A-XX-008,B4,Shishka79.pl,PL,Ogólnopolska,"Poland-wide, Polska",,,https://www.shishka79.pl/180-nabijarki-tlokowe,,,,,,,,hurtownik,,,mix,średni,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://www.shishka79.pl/180-nabijarki-tlokowe,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Dodano z hurtownicy_pl_127.html; Asortyment: Piston injectors for cigarettes | Status źródłowy: Aktywny | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=78 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
DS,dolnośląskie,województwo,,,PL-A-DS-002,B4,P.H.U. TOP Sp.j. S. Magiera i wspólnicy / Silverado,PL,Wrocław,"ul. Metalowców 25, 54-156 Wrocław",,,https://www.silverado-top.pl,,,,,,,,hurtownik,,,mix,średni,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://www.silverado-top.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Przed kontaktem sprawdzić aktywność strony, dane rejestrowe i aktualną ofertę. | Status źródłowy: Do weryfikacji — źródło katalogowe | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=78 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
MA,małopolskie,województwo,,,PL-A-MA-002,B4,MARWIN POLSKA,PL,Kraków,"ul. Mistrzejowicka 2, 31-651 Kraków",,,http://www.marwinpolska.pl,,,,,,,,hurtownik,,,mix,średni,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | http://www.marwinpolska.pl,,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Warto zweryfikować, czy firma nadal prowadzi aktywną sprzedaż hurtową. | Status źródłowy: Do weryfikacji — źródło katalogowe | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=78 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,Ogólnopolska,,,,PL-A-XX-009,B4,MAGNUS,PL,,,,,https://magnustobacco.com,,,,,,,,hurtownik,,,Chiny,duży,🟢,mix,3,średni,,,,intake_PL_2026-08-10 | https://magnustobacco.com,,🔴🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny; kompetencje importowo-dystrybucyjne. | orig_uwagi: Producer of cigarette tubes, including Private Label manufacturing for B2B. | orig_next: Rozmowa strategiczna z dyrektorem handlowym; bez standardowego cold maila | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=75 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
SK,świętokrzyskie,województwo,,,PL-A-SK-001,B4,JOKO Hurtownia M. Cukrowska,PL,Końskie,"ul. Warszawska 49, 26-200 Końskie",,,,,,,,,,,hurtownik,,,mix,średni,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 (user_score=75),,🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Zweryfikować aktywność, NIP i dostępność akcesoriów RYO. | Status źródłowy: Do weryfikacji — katalog | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=75 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
,Nieustalony,,,,PL-A-XX-010,B4,Verk Store,PL,,Poland,,,https://verk.store,,,,,,,,hurtownik,Zen,Zen,mix,,🔴,mix,3,średni,,,,intake_PL_2026-08-10 | https://verk.store,,🟡🔍 🔍 2026-08-10 ⚠️ DO-WERYFIKACJI (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Status źródłowy: Aktywny | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=72 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | ex-A4 → B4 (no NIP, L1 research needed)",duży
